country,turnout,elec.year,compulsory,elec.type,democ.type,bicameral,DM,ENPP,competitiveness,years.democ,corrupt,educ,pop
Germany,79.08,2002,No,Mixed,Parliamentary,Bicameral,1,3.79,61.5,52,7.3,10.203,82220
Ghana,61.19,2000,No,Majoritarian,Presidential,Unicameral,NA,NA,46.5,8,3.9,3.886,20226
Greece,74.97,2000,Not Enforced,Proportional,Parliamentary,Unicameral,5.14,2.64,56.2,26,4.2,8.667,10645
Grenada,57.42,2003,No,Majoritarian,Parliamentary,Bicameral,1,2.15,37.8,16,3.5,NA,85.25
Guyana,91.73,2001,No,Proportional,Presidential,Unicameral,53,2.17,46.2,25,2.5,6.245,861
Hungary,73.51,2002,No,Mixed,Parliamentary,Unicameral,1,6.66,53.6,10,4.9,9.125,10036
Iceland,87.7,2003,No,Proportional,Semi-Presidential,Unicameral,6.25,3.55,59.3,55,9.4,8.83,281
India,59.73,1999,No,Majoritarian,Parliamentary,Bicameral,1,6.7,45.5,51,2.7,5.063,1014068
Ireland,62.57,2002,No,Proportional,Parliamentary,Bicameral,4,3.95,58.5,70,6.9,9.351,3730
Israel,67.81,2003,No,Proportional,Parliamentary,Unicameral,120,9.74,70,52,7.3,9.604,6219
Italy,81.44,2001,No,Mixed,Parliamentary,Bicameral,1,7.05,57.5,53,5.2,7.18,57296
Jamaica,56.8,2002,No,Majoritarian,Parliamentary,Bicameral,1,2.14,47.6,14,4,5.261,2700.66
Japan,98.04,2003,No,Mixed,Parliamentary,Bicameral,1,3.76,51.5,49,7.1,9.467,127350
Latvia,71.17,2002,No,Proportional,Parliamentary,Unicameral,20,6.94,70,7,3.7,NA,2357
Liechtenstein,86.72,2001,Enforced,Proportional,Parliamentary,Unicameral,12.5,2.33,NA,NA,NA,NA,33
Lithuania,58.18,2000,No,Mixed,Semi-Presidential,Unicameral,1,7.65,68.9,8,4.8,NA,3670
Luxembourg,86.51,1999,Enforced,Proportional,Parliamentary,Unicameral,15,4.62,69.2,70,9,NA,431
Mali,21.58,1997,No,Majoritarian,Semi-Presidential,Unicameral,2.67,1.59,35,8,3,0.876,10758.48
Malta,95.7,2003,No,Proportional,Parliamentary,Unicameral,5,2.04,48.2,25,6.8,NA,389
Mauritius,80.87,2000,No,Majoritarian,Parliamentary,Unicameral,2.95,2.41,48.3,33,4.5,5.999,1158
Mexico,41.68,2003,Not Enforced,Mixed,Presidential,Bicameral,1,3,56.6,61,3.6,7.229,98913
Mongolia,82.42,2000,No,Majoritarian,Semi-Presidential,Unicameral,1,3.24,48.4,10,3,NA,2322.25
Namibia,62.79,1999,No,Proportional,Presidential,Bicameral,72,1.67,23.5,10,5.7,NA,1726
Nauru,88.8,2000,Enforced,Majoritarian,Parliamentary,Unicameral,2.25,NA,NA,NA,NA,NA,13
Netherlands,79.06,2002,No,Proportional,Parliamentary,Bicameral,150,5.13,70,70,9,9.355,15788
New Zealand,76.98,2002,No,Mixed,Parliamentary,Unicameral,1,3.86,58.6,70,9.5,11.737,3908
Norway,74.95,2001,No,Proportional,Parliamentary,Unicameral,8.26,5.07,70,70,8.5,11.848,4451.54
Palau,81.15,2000,No,Majoritarian,Presidential,Bicameral,1,NA,NA,NA,NA,NA,19
Panama,75.94,1999,Not Enforced,Mixed,Presidential,Unicameral,1.775,5.68,55.2,16,3,8.552,2856
Papua New Guinea,65.74,1997,No,Majoritarian,Parliamentary,Unicameral,1,2.51,70,26,2.1,2.876,5658.61
Peru,81.37,2001,Enforced,Proportional,Presidential,Unicameral,NA,NA,46.9,20,4,7.584,25670
Philippines,81.08,2001,No,Mixed,Presidential,Bicameral,1,3.1,60.1,14,2.6,8.209,80220.54
Poland,46.18,2001,No,Proportional,Semi-Presidential,Bicameral,7.52,4.59,52.6,10,4,9.835,38624
Portugal,62.84,2002,No,Proportional,Semi-Presidential,Unicameral,11.3,3.19,51.6,24,6.3,5.873,9875
Romania,65.31,2000,No,Proportional,Semi-Presidential,Bicameral,7.79,5.23,44.2,10,2.6,NA,22325
San Marino,73.8,2001,No,Proportional,Presidential,Unicameral,6,3.73,NA,NA,NA,NA,27
Sao Tome and Principe,66.29,2002,No,Proportional,Semi-Presidential,Unicameral,7.86,2.74,50,NA,2.7,NA,147
Slovenia,70.36,2000,No,Proportional,Parliamentary,Bicameral,11,5.11,53.6,9,6,NA,1902.74
South Africa,89.28,1999,No,Proportional,Parliamentary,Bicameral,22.22,2.16,33.7,70,4.8,6.138,43997.51
South Korea,57.21,2000,No,Mixed,Presidential,Unicameral,1,3.32,60.4,19,4.5,10.837,46850
Spain,68.71,2000,No,Proportional,Parliamentary,Bicameral,6.73,2.99,54.8,23,7.1,7.28,39632
St Kitts and Nevis,64.24,2000,No,Majoritarian,Parliamentary,Unicameral,1,2.55,46.7,NA,NA,NA,38.03
St Lucia,53.66,2001,No,Majoritarian,Parliamentary,Bicameral,1,1.95,45.8,21,6.8,NA,160.04
St Vincent and the Grenadines,69.2,2001,No,Majoritarian,Parliamentary,Unicameral,1,1.99,43.3,NA,6.1,NA,117.01
Suriname,69.85,2000,No,Proportional,Presidential,Unicameral,5.1,3.77,52.4,9,4.3,NA,417
Sweden,80.11,2002,No,Proportional,Parliamentary,Unicameral,10.69,4.54,60.2,70,9.3,11.414,8910
Switzerland,45.44,2003,No,Proportional,Presidential,Bicameral,7.7,5.86,70,70,8.5,10.481,7388
Taiwan,68.09,1998,No,Mixed,Semi-Presidential,Unicameral,6.72,3.14,62,4,5.6,8.764,22653.45
Thailand,69.95,2000,Not Enforced,Majoritarian,Parliamentary,Bicameral,2.52,4.61,37.8,8,3.2,6.502,61702.3
United Kingdom,59.38,2001,No,Majoritarian,Parliamentary,Bicameral,1,3.21,59.3,70,8.7,9.42,58834
United States,63.76,2000,No,Majoritarian,Presidential,Bicameral,1,2.18,51.3,70,7.7,12.049,278429
Uruguay,91.71,1999,Enforced,Proportional,Presidential,Bicameral,99,3.12,48.4,16,5.1,7.558,3383.75
Vanuatu,39.87,1998,No,Majoritarian,Parliamentary,Unicameral,3.06,6.35,44.2,20,3.1,NA,196.32
